year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,_csv_row
2024,1,24,3,2024-01-24,DL,1562.0,SLC,"Salt Lake City, UT",Utah,SMF,"Sacramento, CA",California,800,757.0,-3.0,20.0,817.0,835.0,3.0,855,838.0,-17.0,0,,0,110.0,96.0,73.0,532.0,0,0,0,0,0,412209
2024,1,24,3,2024-01-24,DL,2688.0,LGA,"New York, NY",New York,ORD,"Chicago, IL",Illinois,600,553.0,-7.0,31.0,624.0,732.0,36.0,740,808.0,28.0,0,,0,155.0,190.0,123.0,733.0,0,0,28,0,0,413155
2024,1,25,4,2024-01-25,DL,1119.0,SLC,"Salt Lake City, UT",Utah,STL,"St. Louis, MO",Missouri,1315,1347.0,32.0,15.0,1402.0,1742.0,5.0,1700,1747.0,47.0,0,,0,160.0,175.0,155.0,1156.0,23,0,15,0,9,428898
2024,1,25,4,2024-01-25,DL,1562.0,SLC,"Salt Lake City, UT",Utah,SMF,"Sacramento, CA",California,800,757.0,-3.0,12.0,809.0,826.0,2.0,855,828.0,-27.0,0,,0,110.0,86.0,72.0,532.0,0,0,0,0,0,429436
2024,1,25,4,2024-01-25,DL,1562.0,SMF,"Sacramento, CA",California,SLC,"Salt Lake City, UT",Utah,945,937.0,-8.0,16.0,953.0,1208.0,6.0,1225,1214.0,-11.0,0,,0,90.0,87.0,65.0,532.0,0,0,0,0,0,429437
2024,1,25,4,2024-01-25,DL,2688.0,LGA,"New York, NY",New York,ORD,"Chicago, IL",Illinois,600,600.0,0.0,17.0,617.0,722.0,23.0,740,745.0,5.0,0,,0,155.0,160.0,120.0,733.0,0,0,0,0,0,430458
2024,1,26,5,2024-01-26,DL,1119.0,SLC,"Salt Lake City, UT",Utah,STL,"St. Louis, MO",Missouri,1315,1307.0,-8.0,10.0,1317.0,1638.0,5.0,1700,1643.0,-17.0,0,,0,160.0,151.0,136.0,1156.0,0,0,0,0,0,447593
2024,1,26,5,2024-01-26,DL,1562.0,SLC,"Salt Lake City, UT",Utah,SMF,"Sacramento, CA",California,800,756.0,-4.0,18.0,814.0,834.0,4.0,855,838.0,-17.0,0,,0,110.0,97.0,75.0,532.0,0,0,0,0,0,448132
2024,1,26,5,2024-01-26,DL,1562.0,SMF,"Sacramento, CA",California,SLC,"Salt Lake City, UT",Utah,945,937.0,-8.0,11.0,948.0,1200.0,5.0,1225,1205.0,-20.0,0,,0,90.0,78.0,62.0,532.0,0,0,0,0,0,448133
2024,1,26,5,2024-01-26,DL,2688.0,LGA,"New York, NY",New York,ORD,"Chicago, IL",Illinois,600,553.0,-7.0,24.0,617.0,728.0,22.0,740,750.0,10.0,0,,0,155.0,172.0,126.0,733.0,0,0,0,0,0,449155
2024,1,27,6,2024-01-27,DL,1120.0,SLC,"Salt Lake City, UT",Utah,BOI,"Boise, ID",Idaho,1535,1527.0,-8.0,20.0,1547.0,1634.0,2.0,1654,1636.0,-18.0,0,,0,75.0,65.0,43.0,290.0,0,0,0,0,0,465548
2024,1,27,6,2024-01-27,DL,450.0,DTW,"Detroit, MI",Michigan,SFO,"San Francisco, CA",California,853,851.0,-2.0,14.0,905.0,1036.0,7.0,1130,1043.0,-47.0,0,,0,330.0,285.0,264.0,2079.0,0,0,0,0,0,467107
2024,1,27,6,2024-01-27,DL,671.0,SLC,"Salt Lake City, UT",Utah,DTW,"Detroit, MI",Michigan,940,940.0,0.0,13.0,953.0,1501.0,7.0,1516,1508.0,-8.0,0,,0,215.0,207.0,187.0,1481.0,0,0,0,0,0,467264
2024,1,28,7,2024-01-28,DL,1119.0,SLC,"Salt Lake City, UT",Utah,STL,"St. Louis, MO",Missouri,1315,1259.0,-16.0,13.0,1312.0,1634.0,5.0,1700,1639.0,-21.0,0,,0,160.0,155.0,137.0,1156.0,0,0,0,0,0,481773
2024,1,28,7,2024-01-28,DL,1562.0,SLC,"Salt Lake City, UT",Utah,SMF,"Sacramento, CA",California,800,747.0,-13.0,21.0,808.0,831.0,3.0,855,834.0,-21.0,0,,0,110.0,102.0,78.0,532.0,0,0,0,0,0,482309
2024,1,28,7,2024-01-28,DL,1562.0,SMF,"Sacramento, CA",California,SLC,"Salt Lake City, UT",Utah,945,929.0,-16.0,13.0,942.0,1153.0,2.0,1225,1155.0,-30.0,0,,0,90.0,76.0,61.0,532.0,0,0,0,0,0,482310
2024,1,29,1,2024-01-29,DL,2024.0,SLC,"Salt Lake City, UT",Utah,SFO,"San Francisco, CA",California,800,855.0,55.0,36.0,931.0,1009.0,5.0,920,1014.0,54.0,0,,0,135.0,134.0,93.0,599.0,0,0,54,0,0,501185
2024,1,29,1,2024-01-29,DL,2688.0,LGA,"New York, NY",New York,ORD,"Chicago, IL",Illinois,600,558.0,-2.0,21.0,619.0,705.0,21.0,740,726.0,-14.0,0,,0,155.0,143.0,101.0,733.0,0,0,0,0,0,501864
2024,1,29,1,2024-01-29,DL,768.0,SLC,"Salt Lake City, UT",Utah,SMF,"Sacramento, CA",California,1515,1514.0,-1.0,11.0,1525.0,1537.0,4.0,1604,1541.0,-23.0,0,,0,104.0,82.0,67.0,532.0,0,0,0,0,0,502498
2024,1,30,2,2024-01-30,DL,2024.0,SLC,"Salt Lake City, UT",Utah,SFO,"San Francisco, CA",California,800,752.0,-8.0,35.0,827.0,903.0,4.0,920,907.0,-13.0,0,,0,135.0,130.0,91.0,599.0,0,0,0,0,0,519030
2024,1,30,2,2024-01-30,DL,2688.0,LGA,"New York, NY",New York,ORD,"Chicago, IL",Illinois,600,542.0,-18.0,17.0,559.0,649.0,20.0,740,709.0,-31.0,0,,0,155.0,142.0,105.0,733.0,0,0,0,0,0,519672
2024,1,30,2,2024-01-30,DL,768.0,SLC,"Salt Lake City, UT",Utah,SMF,"Sacramento, CA",California,1515,1508.0,-7.0,18.0,1526.0,1541.0,2.0,1604,1543.0,-21.0,0,,0,104.0,90.0,70.0,532.0,0,0,0,0,0,520283
